CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,37,64,47
2,Female,48,69,57
3,Male,65,132,10
4,Male,41,57,45
5,Male,27,26,62
6,Male,55,77,15
7,Male,27,75,74
8,Male,53,98,1
9,Female,24,23,62
10,Female,18,31,94
11,Female,23,36,65
12,Female,60,122,13
13,Female,31,40,75
14,Male,39,137,76
15,Female,49,85,16
16,Male,50,21,30
17,Male,26,20,97
18,Male,45,123,74
19,Female,33,98,80
20,Male,57,22,8
21,Female,41,110,16
22,Female,64,17,30
23,Female,53,42,46
24,Male,43,80,65
25,Female,25,20,71
26,Male,29,135,91
27,Female,55,15,35
28,Female,66,28,17
29,Female,24,36,75
30,Male,50,25,35
31,Male,28,81,97
32,Male,58,130,16
33,Female,52,108,7
34,Female,55,29,17
35,Female,57,40,39
36,Male,43,132,14
37,Male,64,27,18
38,Female,59,25,29
39,Female,38,40,62
40,Female,21,38,79
41,Female,31,34,69
42,Male,65,29,34
43,Female,40,17,28
44,Male,50,134,34
45,Male,33,59,35
46,Female,52,63,40
47,Female,57,29,11
48,Male,65,101,38
49,Male,42,37,19
50,Male,39,54,55
51,Female,19,15,81
52,Male,26,31,91
53,Female,35,105,69
54,Male,56,117,29
55,Male,42,57,44
56,Female,28,29,88
57,Female,43,75,59
58,Female,26,20,88
59,Female,34,44,53
60,Male,43,57,58
61,Female,33,134,71
62,Male,49,76,7
63,Male,31,52,44
64,Female,27,24,73
65,Female,43,121,83
66,Male,25,84,83
67,Female,30,36,71
68,Male,65,135,6
69,Female,40,118,1
70,Male,32,103,97
71,Female,35,19,77
72,Female,29,39,95
73,Female,25,81,73
74,Female,67,39,7
75,Male,66,39,16
76,Male,45,51,41
77,Male,34,45,42
78,Male,35,59,56
79,Male,31,53,49
80,Female,59,95,20
81,Male,43,129,16
82,Female,33,70,70
83,Female,25,22,61
84,Male,37,80,95
85,Female,25,21,89
86,Male,35,52,61
87,Female,55,22,18
88,Male,33,73,65
89,Female,29,38,80
90,Male,56,125,23
91,Female,52,30,26
92,Female,51,47,59
93,Male,22,32,62
94,Female,47,20,34
95,Male,47,57,52
96,Female,37,126,36
97,Female,34,100,63
98,Male,60,37,1
99,Female,18,20,81
100,Female,65,27,11
101,Female,42,91,76
102,Female,30,58,42
103,Male,35,83,65
104,Male,41,22,31
105,Female,37,47,60
106,Female,41,70,98
107,Female,56,30,16
108,Male,24,37,81
109,Female,25,84,94
110,Male,54,80,27
111,Male,39,116,70
112,Male,46,28,25
113,Female,48,55,38
114,Female,49,63,37
115,Male,19,17,87
116,Male,51,103,9
117,Female,22,23,67
118,Female,26,26,92
119,Female,30,25,77
120,Female,29,117,70
121,Female,24,31,90
122,Male,43,46,48
123,Female,54,45,43
124,Male,26,128,94
125,Female,62,100,11
126,Male,28,34,80
127,Female,35,19,87
128,Male,53,56,45
129,Male,59,79,1
130,Male,50,97,26
131,Male,36,114,98
132,Male,51,75,45
133,Male,38,51,50
134,Female,69,27,38
135,Female,26,16,66
136,Female,25,105,75
137,Male,44,22,25
138,Female,37,104,64
139,Male,45,72,38
140,Female,43,128,19
141,Male,54,124,14
142,Male,43,110,73
143,Female,37,78,16
144,Male,41,127,9
145,Male,58,113,7
146,Male,26,84,69
147,Male,31,104,64
148,Female,64,33,25
149,Female,54,137,1
150,Female,24,26,87
151,Male,40,27,22
152,Female,63,78,16
153,Female,35,19,72
154,Female,27,27,95
155,Male,21,27,62
156,Female,63,31,28
157,Male,55,71,6
158,Female,69,19,40
159,Male,54,20,4
160,Female,34,18,84
161,Male,50,32,30
162,Male,30,128,60
163,Male,41,77,38
164,Female,37,128,69
165,Male,40,126,35
166,Female,58,37,2
167,Female,37,46,53
168,Female,27,86,68
169,Female,43,75,51
170,Male,48,42,59
171,Female,67,28,35
172,Female,26,99,62
173,Male,43,71,49
174,Female,35,25,61
175,Female,30,101,70
176,Female,45,113,67
177,Female,40,61,35
178,Female,36,110,4
179,Male,31,52,45
180,Male,36,112,5
181,Female,31,32,60
182,Female,31,25,85
183,Female,47,40,13
184,Male,61,35,40
185,Male,39,108,30
186,Male,70,26,20
187,Male,44,73,95
188,Female,38,78,84
189,Male,60,33,13
190,Male,32,55,39
191,Female,52,73,54
192,Female,47,74,59
193,Male,53,82,5
194,Female,62,21,5
195,Female,27,99,66
196,Male,45,116,96
197,Female,53,136,21
198,Female,28,108,92
199,Female,66,35,18
200,Female,35,69,53
